baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
isogroup10079_c5_g1	15.3143467032873	0.833677089206253	0.937990037278681	0.888790985056661	0.37411542169265	0.452186728275884
isogroup1007_c0_g1	0.160159480382481	0.478639192255117	3.76437416820579	0.127149738805919	0.898821885021332	NA
isogroup10080_c3_g1	9.41798681015831	4.85139177801815	1.54642213217739	3.13717171855741	0.00170586186019637	0.0104123183543525
isogroup10080_c6_g1	50.4864419080204	3.29418995134382	1.30089839347251	2.53224230875602	0.0113335641112438	0.0337110289129296
isogroup10082_c4_g1	9.44726444701417	4.75623504215126	1.62945861467333	2.91890508867252	0.00351263154319874	0.0160660026521769
isogroup10082_c5_g1	73.6424651881417	0.184032919173261	0.792845986341761	0.232116857931514	0.816447251681208	0.854582064552035
isogroup10083_c1_g1	1.02879287197066	2.67652840391459	2.78305906676276	0.961721738456639	0.336189399619419	NA
isogroup10083_c5_g1	4.96410323412583	4.92248789360026	1.57643945489938	3.12253533004504	0.00179300583965914	0.0107487990875445
isogroup10085_c14_g1	0.0800797401912405	-0.223179251297377	3.7974125296458	-0.0587714001455074	0.953134188449564	NA
isogroup10085_c36_g1	0.560953917345188	-2.73807202520743	3.19963819670192	-0.855744261344844	0.392139252056775	NA
isogroup10085_c41_g1	75.0998375475837	1.04187206109443	1.24597247076404	0.836191878666103	0.403046966494601	0.481950194814457
isogroup10085_c45_g1	0.895011531790093	2.48226218633695	2.86631385906227	0.866011996030692	0.386483583324458	NA
isogroup10085_c45_g3	39.0228366943881	0.34970096303937	1.54015955579885	0.227055022788199	0.820380957264418	0.858082107307666
isogroup10086_c1_g1	1.57524578237084	3.21965317979623	1.83382360274585	1.75570495165147	0.079138800889275	0.129404837684908
isogroup10087_c2_g1	1.20151090758186	2.93090229426801	2.09270357471093	1.40053389772264	0.161353499905473	NA
isogroup10088_c1_g1	1.23316971203126	2.96411026144242	2.0948066103977	1.41498038374038	0.157074247580858	NA
isogroup10088_c2_g1	1.21921835845979	2.93578381551164	2.17062937052514	1.35250349754614	0.176214300674512	NA
isogroup10088_c3_g1	1.08129258515714	2.44354396422628	2.48885366572019	0.98179495158033	0.326200875783309	NA
isogroup10088_c4_g1	0	NA	NA	NA	NA	NA
isogroup1008_c0_g1	0.0400398700956203	-0.647927017200175	3.80769653887545	-0.170162461893965	0.864882372203106	NA
isogroup10091_c0_g1	0.303556829472518	1.15955958343688	3.7438790841441	0.309721429932872	0.756772804862695	NA
isogroup10092_c0_g1	0.173821210276184	0.532853024163122	3.76238750654437	0.141626300649858	0.887375191417285	NA
isogroup10092_c1_g1	0.0668906700902818	-0.437108708621106	3.80398395117692	-0.114908136898387	0.908517935507492	NA
isogroup10092_c2_g1	0.173821210276184	0.532853024163122	3.76238750654437	0.141626300649858	0.887375191417285	NA
isogroup10092_c6_g1	0.513844848652837	1.78352459878274	2.656002207852	0.671507197362285	0.501897475960485	NA
isogroup10092_c7_g1	0.0400398700956203	-0.647927017200175	3.80769653887545	-0.170162461893965	0.864882372203106	NA
isogroup10093_c2_g1	0.360358830860582	1.36920064922273	3.73921255001212	0.366173527423118	0.714235594522478	NA
isogroup10094_c2_g1	340.483172342475	5.26348855876041	1.51365555543002	3.47733573855585	0.000506423247069379	0.00521883061438585
isogroup10094_c3_g1	26.4222096002961	7.29058873622063	1.89520543525299	3.84685934337637	0.000119641607789806	0.00241175929236333
isogroup10094_c5_g1	314.462710816467	0.486627450867787	0.634244078538283	0.767255804720002	0.442929439529254	0.521249694841917
isogroup10096_c1_g1	2.2326710162287	3.74111172118037	1.72114310595885	2.17362037370867	0.0297336570556721	0.0649556314880325
isogroup10096_c2_g1	3.53998772918575	2.50338576517928	1.41033719186257	1.77502641185628	0.0758935262557197	0.125509026889551
isogroup10097_c0_g1	0.0400398700956203	-0.647927017200175	3.80769653887545	-0.170162461893965	0.864882372203106	NA
isogroup10098_c27_g1	13.9943545865103	-1.85583543299942	0.963489280792847	-1.92616095476669	0.0540842794883904	0.0989259500239764
isogroup10098_c29_g1	21.3337756105299	-1.83311277904971	0.790055421165796	-2.32023315066276	0.0203282681833954	0.0500734552952635
isogroup10098_c32_g1	34.1699048666159	1.93625321139047	1.00193942736407	1.93250525781226	0.0532971737257819	0.0981311696539574
isogroup10098_c32_g2	4.9524135499304	4.92031011948069	1.63430248829163	3.01064836817571	0.00260690552383331	0.0133760868581848
isogroup10098_c33_g1	24.4075293745872	4.17660488460128	1.20965107712325	3.45273522554448	0.000554933408634388	0.00547933965753988
isogroup10099_c0_g1	0.200672010270845	0.680586538662364	3.75731618135933	0.181136349940116	0.856260553366309	NA
isogroup1009_c0_g1	0.634437118732442	2.03882316932756	2.48673753262957	0.819878713605784	0.41228525267411	NA
